strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100040802,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040803,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040804,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040805,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040901,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040902,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040903,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040904,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040905,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040906,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040907,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040908,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040909,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041001,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041006,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041007,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041008,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041009,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041101,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041102,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041103,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041104,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041105,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041106,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041107,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041108,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041109,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041111,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041112,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041113,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010101,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010102,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010103,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010104,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010105,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
