model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
MLP;Sunspot Numbers;16;14329,837259320057;119,70729827090769;51,623319979731264;13,24655722327883;7,14;4,015403985977173;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;6;15607,68257467663;124,93071109489703;66,82775886048674;14,439233738927678;7,18;0,8664438724517822;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;9;18283,44286377287;135,21628179983676;64,2164620787795;14,358490589930724;7,78;2,0011062622070312;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;23;25121,572405006445;158,49786246194756;88,90384991146135;18,64815566876912;9,01;2,401080369949341;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Sunspot Numbers;13;81497,64163818565;285,4779179519594;222,2691773861276;37,215723663911184;14,74;3,248218774795532;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;5;998953,3154572154;999,476520713326;804,786584738318;169,79966019274755;30,62;1,1412127017974854;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;12;1184733,2144613538;1088,4545072998476;806,7441920472925;283,1047918861933;35,0;1,853954792022705;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;7;1287403,37543171;1134,637993120145;1001,1670647511162;256,6627278119769;35,51;1,6399338245391846;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;IBM Stock prices;0;10517,37633151831;102,55426042597308;67,62784720322588;52,17303631819672;36,13;7,859074831008911;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;14;1415941,7824574364;1189,9335201839792;724,8030051097063;142,2501340339123;36,7;1,6118075847625732;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
