model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
SVR;TSLA Stock prices;5;116,15806459616137;10,77766508090511;5,603833544179338;2,6886284104813947;1,34;1,9468955993652344;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;17;49,18417588086975;7,013143081448556;3,3415317898302703;2,732159837807921;1,37;14,78398609161377;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;11;116,67885852702828;10,801798856071532;5,93305639652327;2,7266705499394406;1,37;2,1614012718200684;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;10;120,64154929249877;10,98369470135158;5,874591874339458;2,7750106554577467;1,4;2,573025941848755;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;15;121,94015823897662;11,042651775682172;6,182008123399669;2,827724502917074;1,43;2,4622902870178223;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;19;126,50537294195252;11,247460733070044;6,221329849947338;2,859418277328172;1,44;2,4571352005004883;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;21;122,69516688068954;11,076785042632611;6,303405847970083;2,850786530688163;1,44;2,8991498947143555;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;4;130,38218299538624;11,41850178418282;6,043631147465362;2,884421785123068;1,45;1,733041763305664;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;TSLA Stock prices;23;148,7919283244107;12,198029690257796;6,512069128536126;3,022601795897027;1,51;2,505861520767212;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;21;36,08625053613414;6,007183244760737;4,241680906597189;3,02289631455967;1,53;15,74948763847351;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;20;182,07599421474907;13,493553802269776;6,893172800981773;3,2227722361297624;1,6;3,025096893310547;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;3;168,03144337496005;12,962694294588609;6,925113676594009;3,2350071754076377;1,62;1,790369749069214;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;22;36,67554985620032;6,056034169008653;4,735645469950349;3,2560440365763483;1,65;15,87701177597046;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;22;205,2792141020648;14,327568324808812;7,324414402114712;3,384725480563429;1,68;2,442457675933838;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;14;178,89587214420857;13,375196153485325;7,293807945842161;3,351250200827008;1,71;2,3574111461639404;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;17;175,09982550222355;13,232529066743952;7,548242275066187;3,4084216069949456;1,74;2,267194986343384;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;24;269,9005518615983;16,428650335970946;8,19658830907062;3,806499515914476;1,88;2,7487409114837646;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;18;236,4195328534914;15,375940064057591;4,200212914994097;4,596792653992807;2,24;14,978766202926636;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;8;265,9364963351825;16,30755948433678;10,934624279940708;4,601635035591402;2,36;2,1621310710906982;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;6;80,82075138467494;8,990036228218157;7,463155632995921;5,188221523311346;2,66;11,764798402786257;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;7;938,6668172649156;30,63766990593305;14,748368421591763;7,044366706085942;3,47;2,0682172775268555;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;12;501,6780596753937;22,398170900218474;18,620036692405392;6,935031395464588;3,62;2,3293609619140625;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
